trial_number,strategy,tube_state,action,spout_state,feedback,profit,total_reward,total_timeouts,total_null
41,Empirical,CHECK,Wait,OFF,Null,7,8,1,32
42,Empirical,NOGO,Wait,OFF,Null,7,8,1,33
43,Empirical,CHECK,Wait,OFF,Null,7,8,1,34
44,Empirical,GO,Lick,ON,Reward,8,9,1,34
45,Empirical,CHECK,Wait,OFF,Null,8,9,1,35
46,Empirical,NOGO,Wait,OFF,Null,8,9,1,36
47,Empirical,NOGO,Wait,OFF,Null,8,9,1,37
48,Empirical,GO,Lick,ON,Reward,9,10,1,37
49,Empirical,GO,Lick,ON,Reward,10,11,1,37
50,Empirical,NOGO,Wait,OFF,Null,10,11,1,38
1,QLearningAgent,NOGO,Lick,OFF,Timeout,-1,0,1,0
2,QLearningAgent,NOGO,Wait,OFF,Null,-1,0,1,1
3,QLearningAgent,NOGO,Wait,OFF,Null,-1,0,1,2
4,QLearningAgent,NOGO,Wait,OFF,Null,-1,0,1,3
5,QLearningAgent,NOGO,Wait,OFF,Null,-1,0,1,4
6,QLearningAgent,GO,Lick,ON,Reward,0,1,1,4
7,QLearningAgent,GO,Lick,ON,Reward,1,2,1,4
8,QLearningAgent,NOGO,Wait,OFF,Null,1,2,1,5
9,QLearningAgent,NOGO,Wait,OFF,Null,1,2,1,6
10,QLearningAgent,NOGO,Wait,OFF,Null,1,2,1,7
11,QLearningAgent,GO,Lick,ON,Reward,2,3,1,7
12,QLearningAgent,NOGO,Wait,OFF,Null,2,3,1,8
13,QLearningAgent,NOGO,Wait,OFF,Null,2,3,1,9
14,QLearningAgent,CHECK,Lick,OFF,Null,2,3,1,10
15,QLearningAgent,GO,Lick,ON,Reward,3,4,1,10
16,QLearningAgent,CHECK,Lick,OFF,Null,3,4,1,11
17,QLearningAgent,CHECK,Lick,OFF,Null,3,4,1,12
18,QLearningAgent,NOGO,Wait,OFF,Null,3,4,1,13
19,QLearningAgent,CHECK,Lick,OFF,Null,3,4,1,14
20,QLearningAgent,GO,Lick,ON,Reward,4,5,1,14
21,QLearningAgent,GO,Lick,ON,Reward,5,6,1,14
22,QLearningAgent,NOGO,Wait,OFF,Null,5,6,1,15
23,QLearningAgent,NOGO,Wait,OFF,Null,5,6,1,16
24,QLearningAgent,GO,Lick,ON,Reward,6,7,1,16
25,QLearningAgent,GO,Lick,ON,Reward,7,8,1,16
26,QLearningAgent,GO,Lick,ON,Reward,8,9,1,16
27,QLearningAgent,NOGO,Wait,OFF,Null,8,9,1,17
28,QLearningAgent,CHECK,Lick,OFF,Null,8,9,1,18
29,QLearningAgent,GO,Lick,ON,Reward,9,10,1,18
30,QLearningAgent,GO,Lick,ON,Reward,10,11,1,18
31,QLearningAgent,CHECK,Lick,OFF,Null,10,11,1,19
32,QLearningAgent,GO,Lick,ON,Reward,11,12,1,19
33,QLearningAgent,GO,Lick,ON,Reward,12,13,1,19
34,QLearningAgent,NOGO,Wait,OFF,Null,12,13,1,20
35,QLearningAgent,NOGO,Wait,OFF,Null,12,13,1,21
36,QLearningAgent,GO,Lick,ON,Reward,13,14,1,21
37,QLearningAgent,CHECK,Lick,OFF,Null,13,14,1,22
38,QLearningAgent,CHECK,Lick,OFF,Null,13,14,1,23
39,QLearningAgent,GO,Lick,ON,Reward,14,15,1,23
40,QLearningAgent,NOGO,Wait,OFF,Null,14,15,1,24
41,QLearningAgent,NOGO,Wait,OFF,Null,14,15,1,25
42,QLearningAgent,NOGO,Lick,OFF,Timeout,13,15,2,25
43,QLearningAgent,NOGO,Wait,OFF,Null,13,15,2,26
44,QLearningAgent,NOGO,Wait,OFF,Null,13,15,2,27
45,QLearningAgent,CHECK,Lick,OFF,Null,13,15,2,28
46,QLearningAgent,GO,Lick,ON,Reward,14,16,2,28
47,QLearningAgent,NOGO,Wait,OFF,Null,14,16,2,29
48,QLearningAgent,GO,Lick,ON,Reward,15,17,2,29
49,QLearningAgent,CHECK,Lick,OFF,Null,15,17,2,30
50,QLearningAgent,CHECK,Lick,OFF,Null,15,17,2,31
